num,date,review,rating,like
69,2021년 04월 17일,배송이 아주 빠름,4,
70,2021년 04월 17일,저희 엄마가 자동할인 적용되는거 너무 좋다고 하시네요! 추천합니다,5,
71,2021년 04월 16일,"가성비,가심비 둘다 잡는 쇼핑몰",3,
72,2021년 04월 16일,저렴하게 잘 구매했어요~,5,
73,2021년 04월 16일,백화점~ 마트~ 슈퍼~ 롭스~ 하이마트~ 다 있네요!!!! 만족합니다,5,
74,2021년 04월 16일,좋은 상품 좋은 구매 좋은 어플,4,
75,2021년 04월 16일,엘포인트 짱짱맨,3,
76,2021년 04월 16일,배송두 물건두 좋습니다,5,
77,2021년 04월 16일,너무 좋아요!!!!,5,
78,2021년 04월 16일,온라인 구매 자주 안하는데 여기서 만큼은 자주 해야징,3,
79,2021년 04월 16일,매우 잘 사용하고 있습니다.,5,
80,2021년 04월 16일,이전에 비해 어플이 많이 개선된거 같음,5,
81,2021년 04월 16일,저는 앱 오류없고 깔끔해요,5,
82,2021년 04월 16일,일단 UI가 깔쌈하니 사용하기 편리 한듯 ㅋㅋ,4,
83,2021년 04월 16일,실속 있는 제품 고맙습니다,3,
84,2021년 04월 16일,"전 쓸만한거 같아요 좀만 더 개선되면 좋겠지만,,,",5,
85,2021년 04월 16일,가격이 대체로 저렴하고 신뢰가 가는 상품이 많은거 같네요,5,
86,2021년 04월 16일,여기서 물건 사기 전에 후기 보는 재미 쏠쏠,3,
87,2021년 04월 16일,이번에 특가로 구매했어요 넘 좋네요,5,
88,2021년 04월 16일,찐찐찐찐 완전찐이야!!,4,
89,2021년 04월 16일,"결제 할인이 정말 많이 됨, 후회 안함",3,
90,2021년 04월 16일,배송빨라서 좋아요,5,
91,2021년 04월 16일,"상품 선택의 폭이넓고, 저렴해서 잘 사용하고 있네여~~",5,
92,2021년 04월 16일,물건사기에 문제없이 앱이 깔끔해서 좋네요.,3,
93,2021년 04월 16일,앱전용 쿠폰이나 할인혜택이 많은 거 같아용^^ 자주 애용하겠습니다~,5,
94,2021년 04월 16일,채고시당,4,
95,2021년 04월 16일,필요한 걸 싸고빠르게 살수있으니까 너무좋아요,5,
96,2021년 04월 16일,필요한 걸 싸고빠르게 살수있으니까 너무좋아요,5,
97,2021년 04월 16일,이번에 친구선물을 롯데온에서 싸게 샀어요!! 완전 강추강추 합니다~,5,
98,2021년 04월 16일,"할인상품, 빠른 배송, 쿠폰 진짜 좋아요",3,
99,2021년 04월 16일,장보면 배송이 빠르게 와서 제일 만족합니다.,3,
100,2021년 04월 16일,잘 사용하고 있으요~~,5,
101,2021년 04월 16일,어플에서 백화점이랑 마트랑 다 사용 가능하네요^^ 매우 편리합니다,5,
102,2021년 04월 16일,새로운 트렌드를 알수가 있는 어플,4,
103,2021년 04월 16일,쇼핑앱은 롯데온 ♡,3,
104,2021년 04월 16일,접근성이 좋♡,3,
