,num,date,review,rating,like
0,44,2021년 3월 19일,오배송에 잘못된 물건이나 파는 앱입니다. 업체선정을 뭐 저따위로 하는지 ㅡㅡ 4번 주문해봤는데 2번이 잘못된 물건 .. 다른 쇼핑앱에선 한번도 없었던 것들이 여기는 50프로가 다 문제 덩어리네요 . 쿠폰 할인 백만번해도 이 앱은 쓸생각이 없네요 ㅡㅡ,1,2
0,45,2021년 3월 18일,우선 궁금한걸 해결 못합니다. 물어봐도 상담 가능한 시간이 아니라 하고 상담 가능한 시간에 물어봐도 상담 가능한 상담사가 없다 그러고 상담내용에 대한 답변 예약을 걸어놔도 2틀뒤에 답해줍니다 ㅋㅋ 궁금한거 해결 된 후에 해결 해 주거나 해결이 아예 되지 않습니다.,1,6
0,46,2021년 3월 23일,집에서 간편하게 장볼수있어서 너무좋고 메뉴가 다 간편해서 보기편해요~!!,5,76
0,47,2021년 3월 17일,짱별로,1,
0,48,2021년 3월 23일,컴퓨터로 주문하는거랑 폰으로 주문하는거랑 가격이 틀려요 일부 쿠폰 적용이 안됨,1,2
0,49,2021년 3월 17일,"업데이트 하더니 로그인 할 때마다 네이버 아이디, 비밀번호 입력해야 합니다... 할인 행사 제품도 보기 힘들어지고, 사용자를 위한 인터페이스라고 보기 힘드네요.",1,15
0,50,2021년 3월 17일,느림 이미지 로딩이 오래 걸림,3,4
0,51,2021년 3월 13일,마트용 앱으로는최상입니다,5,1
0,52,2021년 3월 12일,드디어 로그인 성공... 리뷰는 수정합니다. 집에서 장보는데 유용하게 사용하고 있어요!,5,125
0,53,2021년 3월 11일,좋아요 한거 품절된 상품 한번에 체크해서 삭제할 수 있게 해주세요,3,5
0,54,2021년 3월 8일,난해하다,5,
0,55,2021년 3월 8일,정말 어쩔수없다 쓸수밖에.. 장바구니에 막넣고 보니 각각.. 파는사람따로있구 배송비도 엄청붙어서.. ㅠ 못산적도 많지만.. 또 다시 설치하는이유는.. 종류가 많아서 가성비좋은것도 있구 내가 찾는것도 웬만하면 있기에.. 아쉽지만.. 이만한 웹도 없는듯 ㅠ,5,111
0,56,2021년 3월 4일,굿,4,
0,57,2021년 3월 4일,배달예정시간 텀도 4시간이면서 제때 오지도 않음. 8시에서 8시 45분 사이에 온다고 해놓고 직접받아야되서 기껏 8시부터 암것도 못하고 기다렸건만 9시 반 다되서옴 이럴거면 예정시간은 왜있음?,1,8
0,58,2021년 3월 4일,이게.뭔가요?,1,1
0,59,2021년 2월 26일,"1.ssg는cj대한통운으로 보낸다. 2.일요일 공휴일에는 배송안된다(쿠팡은 토 일요일은 물론 새벽 4시에도 풀로 가동 배송함) 내가 ssg에서 산 스팀청소기에 경우 쿠팡보다 5천원 더 비싸다(쿠팡 최저가 보장제가 있어 최저가이상으로 팔지 않음) 3.2일 늦게 주문한 쿠팡이 2일먼저 도착했다 4.쿠팡 마냥 쿠폰을 주는척 하는데 이 앱의 쿠폰은 그림의 떡이다 5.여기 직원이 쿠팡쓴다. 6확실히 쿠팡 다음으론 좋긴 하다. 1,2위 차이가 심할뿐",1,4
0,60,2021년 2월 22일,ui/ux디자인좀바꾸시길 쿠팡본받으세요,1,
0,61,2021년 2월 21일,설치 후 후원 기능 있어서 했는데 ㅡㅡ 안됨,1,3
0,62,2021년 2월 21일,",,,,ㅣ,,,,,이,",2,
0,63,2021년 2월 21일,일좀 합니다!,1,
0,64,2021년 2월 20일,회원가입을하려니까 가입 필수조건을 다 체크하고 전화번호 인증하니까 필수조건 체크가 다 안되있고 안 눌러집니다. 그래서 순서 바꿔서 전화번호인증 먼저하고 필수조건하려니까 또 안되네요. 회원가입하지 말란말인가요? 그리고 선택 체크도 안됩니다,2,60
0,65,2021년 2월 19일,운동화 구매했는데 일주일뒤에 재고없다고 전화오고 환불처리 해주네요. 옆집 쿠팡은 당일 배송오는데 이러면 누가써요. 잘 좀 관리해주세요.,1,
0,66,2021년 2월 18일,쓱-,3,
0,67,2021년 2월 18일,캐시 준다고 해서 설치해서 홈화면 보구 다 보구 하나하나 다 클릭까지 했는데 캐시를 안주는데 캐시좀 주세요,1,13
0,68,2021년 2월 13일,완전 쓰레기,1,
0,69,2021년 2월 13일,나름 대기업인데 일좀 열심히 했으면 좋겠다. 쇼핑앱 여러개 사용중인데 이렇게 뭐 이벤트하는거 찾기 번거롭고 조잡한 앱은 여기밖에 없다.,1,61
0,70,2021년 2월 12일,파이 잘받았습니다.,5,1
0,71,2021년 2월 10일,우리카드 우리페이 사용자입니다. 우리페이 결제는 안되는건가요? 기술적으로 불가능한 것이 아니라면 우리페이로도 결제할 수 있도록 개선 부탁드립니다. 다른 결제수단도 있지만 우리페이 결제시 받을 수 있는 혜택을 놓치게되어서 손해를 봅니다.,1,3
0,72,2021년 2월 9일,최악,1,
0,73,2021년 2월 9일,최악의 앱 상담사 전화도 안받고 결제도 계좌이체도없고 이러니 다른 배송어플에 밀리는게 당연하다는 생각이드네요,1,14
0,74,2021년 2월 9일,실망입니다,1,
0,75,2021년 2월 8일,아니 캐시 준대서 왔는데 왜 안줘요? 1캐시도 안 주네;,1,1
0,76,2021년 2월 8일,감사,5,
0,77,2021년 2월 8일,구웃,5,
0,78,2021년 2월 7일,이상함. 사용자 편의를 하나도 안봐줌.,1,
0,79,2021년 2월 6일,결제방법에 무통장 입금이 포함 되길 빕니다..!,4,9
0,80,2021년 2월 5일,뭐 어플 몇개를 깔아야하나요? 뭐포인트 쓰는것마다 앱이 다다르고 ssg깔았더니 이마트 또 깔고 이제 포인트 받아 쓰려니 ssg페이가 또있고 3개만 깔면 다 되긴하는건가요? 이게 무슨 통합서비스인가요?,1,
0,81,2021년 2월 5일,진짜 최악 ㅋㅋㅋㅋ최초 오픈 포인트 언제 줄 거냐? 등쳐먹고 있네 ㅠㅠ 등쳐먹어서 좋냐? 양심도 없나 진짜 ㅋㅋㅋ 여기서 뭐 물건 살 일도 없을 듯 ㅋㅋㅋ 딱 봐도 수준 보이니까,1,3
0,82,2021년 2월 5일,시간.친절좋아요,5,
0,83,2021년 2월 5일,리뷰 정렬하는 게 없어진건지..? 최신순이나 평점순으로도 보고싶은데 다 뒤죽박죽... 보통 업데이트하면 잠깐 어색해해도 기능적으로 나아지는 게 있어서 납득하는데 이번은ㅠㅠ 다양한 연령대가 사용하는 만큼 좀 더 직관적으로 바뀌었으면 좋겠어요. 이상한 디자인적 요소는 고려하시지 말고요ㅠ,3,2
0,84,2021년 2월 5일,걍1점줌,1,1
0,85,2021년 2월 4일,모바일 비추... 쓰기불편해요,1,
0,86,2021년 2월 2일,다 고르고 결제할려는데 너무 거지같아서 그냥 내일 마트 갈렵니다.,1,1
0,87,2021년 2월 2일,집으로 직장으로 6배수 빠른 배송완료 입니다 물맛 좋고 몸에좋은 한스 6배수 최고네요,5,5
0,88,2021년 2월 2일,엿이나 먹으셈,1,
0,89,2021년 2월 2일,주문조회에서 택배&12개월로 보고 싶은데 택배배송을 누르면 12개월이 3개월로 바뀌고 12개월을 누르면 택배가 전체배송으로 바뀜. 그리고 ssg페이 쓸 생각 없으니 결제 방법을 제발 최근에 선택한 항목으로 고정시켜줬으면 좋겠음,1,85
0,90,2021년 2월 2일,튜브캐시 적립 확인좀,3,
0,91,2021년 2월 2일,"시스템 잘도 만들어놨네요.왠만해서 귀찮아서 글도 잘 안쓰는 사람인데요. 시스템 왜 이딴식으로 만들었는지 이해가 안가네요. 그리고 상담사는 왜 기본적인 부분도 숙지를 못하고 있는가요? Ssg머니 사용처도 기본적으로 숙지해야하는거 아닌가요? 왜 고객은 알고 직원은 모르는지 이해가 안가네요 페이로 이마트 현장결제 되는거 대부분 아는데 ssg닷컴에서 왜 모르는지?ㅋㅋ페이어플이랑 닷컴이랑 머니가 연동이 안되서 3시간동안 별짓을 다했네요?닷컴에서보이는게 ssg페이에선 안보이고 결국 계산대에서 별짓다하다가 결제못해서 고센앞에서 통화하는데 상담사...
전체 리뷰",1,86
0,92,2021년 2월 1일,카드새로발급받았는데교체가어려워요,5,2
0,93,2021년 1월 29일,장보기가 너무편함 같이볼수도 있고 품절때 입고 알림도 바로 떠서 좋음 단점은 돈을 너무 많이 쓴다는점..,5,8
0,94,2021년 1월 28일,개 비싸네;;; 마트가면 3000원에 파는 콜라 +환타가 사천 몇 백원... 배송비도 따로 받을거 아냐;; 가격에 메리트가 안 보여서 바로 지움.,1,2
0,95,2021년 1월 27일,내인생에포기란 없다,5,
0,96,2021년 1월 27일,광고참여를 했는데 돈을 못받네요 대기업 주제에 등쳐먹어서 됐나요?,1,2
0,97,2021년 1월 26일,줗아요,5,
0,98,2021년 1월 26일,편리한 쇼핑몰어서 고혈압당뇨에좋은 6배수드시고 건강하세요,5,6
0,99,2021년 1월 26일,최악,1,
0,100,2021년 1월 26일,6배수 넘좋아요,5,1
0,101,2021년 1월 25일,조아요,5,
0,102,2021년 1월 23일,조아요~,5,
0,103,2021년 1월 20일,좋아요,5,
0,104,2021년 1월 20일,결제하려고 신한카드 새로 입력 하려는데 자꾸 오류라고 하면서 튕깁니다. 타 사이트에 등록된 신한카드는 결제가 잘 되네요... 결국 다른데서 주문했지만 고쳐주시면 좋겠네요.,3,56
0,105,2021년 1월 20일,상ᆢㄷㅇ하기편ㅇ리하네요,5,
0,106,2021년 1월 20일,완존좋아요 6배수가여기에서많이 팔려나가길~~,5,3
0,107,2021년 1월 19일,"구매단계에서 앱 사용성은 좋으나 고객센터, 특히 식품 반품관련 접근성은 끔찍합니다. 문의 버튼들은 my ssg 하단에 있어 찾기 힘들고 고객센터 톡은 왜 쓰지 않을 기능 권한까지 다 주지 않으면 사용할 수 없는 것인지. 너무 불편하고 복잡하게 설계해놔서 소비자 경험을 다 깎아놓네요",2,123
0,108,2021년 1월 16일,"친절한 응대, 다양한 상품. 조금 아쉽긴 해도 직관적이고 편리한 UX. 좋습니다.",5,1
0,109,2021년 1월 16일,믿습니다,5,
0,110,2021년 1월 15일,사용하기 편합니다.,5,2
0,111,2021년 1월 15일,리뷰쓸때 기존리뷰랑 한달사용리뷰랑 두가지가있던데 둘중하나 작성하면 나머진 안써도되게끔 미작성목록에서 빼면안돼요? 그냥리뷰랑 한달사용이랑 한제품가지고 두번쓰려니 너무 불편합니다,3,9
0,112,2021년 1월 15일,6배수 친구소개마셔밧더니 넘좋아요,5,1
0,113,2021년 1월 15일,"일단 상품 포장은 잘 오는데, 제가 산 상품이 매진되었다고 오지 않았습니다.먼저 산 사람에게 줘야되는거 아닌가요🤔?",3,2
0,114,2021년 1월 13일,배송이 너무 느려요 어플 안정성도 너무 떨어지네요. 무료배송 받기위한 최소한도도 너무 금액이 커서 자주사용하지 않게 돼요,1,3
0,115,2021년 1월 12일,상품사진이 안나와요 빨리 고쳐주세요,1,1
0,116,2021년 1월 9일,아주좋아요~~,5,
0,117,2021년 1월 6일,아니 제가 게임 칩을 샀는데요 분명 수요일에 온다고 적혀있었거든요? 근데 지금까지 안오네요? 다른앱에서는 날짜를 정확히 잡고 주문을 받는데 왜 여기는 날짜를 정확히 안잡죠? 다음부터 날짜를 정확히 잡아주세요,1,1
0,118,2021년 1월 6일,"신세계 몰에 해양심층수 육배수가,올라와있다길래 주문해봤읍니다 건강에 좋은 해양심층수 육배수 정말,맛있고 좋읍니다 지인들에게 권해볼랍니다",5,4
0,119,2021년 1월 4일,해양심층수 6배수 우연한 기회에 알게 되어 먹기 시작했는데 이제는 끈을수 없이 중독이 되어가는것 같아요~~ 6배수 좋아요,4,12
0,120,2021년 1월 4일,육배수는 물 입자가 작아 목 넘김이 부드러운거 같아요. 그래서 그런지 정수기 물이 덜 먹히네요~^^ 내 몸이 원해요~!!!,5,8
0,121,2021년 1월 1일,일주일 전부터인가 품절 대체상품 상품별로 선택하기 누르고 나오는 팝업창이 스크롤이 안 내려가서 아래 목록들을 선택할 수가 없어요. 최신으로 업데이트 해도 계속 그러네요,1,20
0,122,2020년 12월 31일,좋아요,5,
0,123,2020년 12월 31일,배송이 최악입니다 시간많고 느긋하신분추천 합니다 3~4일은 기본 배송예상일 믿고 주문했다가 일주일 이상기다리다 취소하거나 물건없다고 자동 환불될수도 있음,1,10
0,124,2020년 12월 29일,앱사용중 네트워크불안정이라고 뜨고 꺼져버리는일이 두달은되가는거같은데 ㅠ냎ᆢㄴ문제인줄알고 어플삭제후 다시깔기를 여러번 ㅡㅡ지속된오류를 왜!!개선하지않는건가요?? 답답합니다,1,1
0,125,2020년 12월 29일,좋네요 쇼핑하기 아주편하고 해양심층수 6배수 구입했는대 빠른배송이라 아좋습니다 굿,5,2
0,126,2020년 12월 28일,"이제까지 괜찮던 앱이 완전 퇴보했네요. 배너 때문에 아무것도 할 수 없습니다. 배너 때문에 화면 내용을 전혀 읽어주지 못하고, 그러다보니 저 같은 시각장애인은 아무것도 못합니다. 이 정도로 접근성을 깬 건 본 적 없는데, 대기업이 이럴 줄은 몰랐네요.",1,94
0,127,2020년 12월 28일,너무너무 좋습니다,5,1
0,128,2020년 12월 26일,"전에는 됐는데 신용카드 전표가 열리지도 않고, 가끔 열려도 이미지 저장이 안돼요",4,7
0,129,2020년 12월 25일,넘좋아요,5,
0,130,2020년 12월 25일,"장바구니에 있는 목록들의 순서를 이동, 변경할 수 있게 해주면 좋겠습니다. 장바구니에 담은 시간 순서로 되어 있어서 비슷한 물품이 아래 위 여기저기 있을 때 선택하는 데 불편이 있습니다. .....그리고 힌가지... 여기에 써봐야 개발자나 고객의견 전달자는 전혀 안 보는 건가요?",5,704
0,131,2020년 12월 24일,없는게 너무 많아요,3,1
0,132,2020년 12월 23일,한마음 스마트 주식회사에서 새로 출시한 6배수 물을 사먹었어요~엄청 부드럽고 맛이 좋아요~해양심층수 6배수가 변비.소화불량.혈액순환에 탁월해요~남편과 아이들이 먹어보곤 매니아가 되었어요~6배수 짱 입니다,5,1
0,133,2020년 12월 22일,6배수 각종미래날 넘좋아요 마시기시작한지 한달여만에 가려움증이 없어졌어요,5,6
0,134,2020년 12월 23일,편하고 빠르고 믿을 수 있어서 좋아요! 한 번 쓰니 계속 쓱닷컴만 이용하게 되네요,5,6
0,135,2020년 12월 21일,멈춤,1,1
0,136,2020년 12월 20일,갤럭시폴드 최적화는 언제되나요? 쓱페이랑 연동은 언제 되나요,1,2
0,137,2020년 12월 20일,쿠팡쓰렵니다. 로그인부터 아이디비번찾기까지 그어떤것조차 쿠팡의 발톱도 못간듯,1,2
0,138,2020년 12월 22일,빠른 배송 감동입니다. 건강조심하세요 정확한 배송감사합니다 매번 감동 받고있어요. 밤낮으로 정성껏 배송해 주시고 🙏,5,25
0,139,2020년 12월 19일,계속 네트워크 불안정이라고 떠요. 다른 분들 리뷰 보니 저만의 문제는 아닌듯. 원래는 잘 되었었는데 불안정 알람 뜬지 보름쯤 된 거 같아요. 금방 고치겠거니 했는데..... svilllage는 주문하기가 너무 너무 어렵고.. 이렇게 오래 못 고치면 오랜 단골 다 떠나갑니다. 다른 앱은 다 잘되고요. 혹시 제 문제일까 싶어 앱도 다시 깔아보고 핸드폰 리셋도 해봤는데 쓱만 안되요.,1,46
0,140,2020년 12월 19일,너나안좋음 깔지마,1,
0,141,2020년 12월 22일,잘쓰고있어요,5,
0,142,2020년 12월 18일,해양심층수 6배수~인간의 건강을 책임지는 멋진 6배수 ~정말 짱입니다,5,1
0,143,2020년 12월 17일,네이버페이도 결재 가능하게 해주세요! 제발!,3,41
0,144,2020년 12월 16일,ㅋㅋ 할인쿠폰받을라고 이메일 수신동의 하게해놓고 쿠폰안들어와서 보니까 간편회원가입대상은 대상자가 아니라네요 아에 수신동의를 하게하질 말던가 치졸한놈들,1,15
0,145,2020년 12월 16일,평점처음남겨봅니다 앱사용시 오류가 계속발생하는데 상담사연결 3번에도 해결되는건없고 지웠다 다시 깔아보라는 답변에 시도해보았지만 계속 발생하는 오류에 그냥 앱 지우고 안쓸래요,1,18
0,146,2020년 12월 22일,시간많고 아무생각이 없으신 분이나 인내심 강한분들은 사용하시면 너무 좋아요 급하고 바쁘고 시간없는 분들은 사용하지 마세요 짜증나서 눈돌아갈수 있으며 화병이 생길수도 있으며 심장마비가 올수 있으니 무념무상 이신분만 사용하시길...,1,1
0,147,2020년 12월 15일,👍 입니다,5,1
