시명,2020 지정폐기물 배출량,2020 지정폐기물 처리량
가평군,0.0006,0.0667
고양시,0.0123,0
과천시,0.0013,0
광명시,0.0047,0
광주시,0.0052,0
구리시,0.0032,0
군포시,0.0038,0
김포시,0.0115,0
남양주시,0.0046,0
동두천시,0.001,0
부천시,0.0082,0
성남시,0.017,0
수원시,0.0172,0
시흥시,0.0792,0.8104
안산시,0.2063,0
안성시,0.0206,0.0609
안양시,0.0092,0
양주시,0.0132,0.062
양평군,0.001,0
여주시,0.0025,0
연천군,0.0033,0
오산시,0.01,0
용인시,0.0145,0
의왕시,0.0054,0
의정부시,0.005,0
이천시,0.1366,0
파주시,0.0633,0
평택시,0.125,0
포천시,0.006,0
하남시,0.0033,0
화성시,0.2045,0
